1,2,3,4
72.9,54.2,39.6,6282.8
72.9,53.4,45.6,6743.8
72.9,53.1,52.3,7285.3
72.9,52.9,58.9,7861.3
72.9,53.1,65.4,8238
72.9,53.2,72,8822.3
72.9,53.2,77.5,9227.3
72.7,53.4,83.9,9883.3
72.9,53.4,86.9,9980.8
72.9,53.2,85.1,9813.5
72.7,52.5,80,9527.3
73,51.9,72.8,8966
72.8,51.5,67.3,8570.8
72.9,51.1,60.5,8108.8
72.7,50.7,52.9,7770.8
73,50.3,46,7221
72.9,49.8,38,6804.5
72.9,49.8,36.7,6784
72.9,48.6,39.2,7072.8
72.9,47.6,45.6,7811.3
72.6,47.2,52.1,8391.8
72.9,47.2,58.5,8982.5
72.9,47.2,65,9449
73,47.2,72,9959
72.9,47.4,78.8,10820
72.8,47.6,84.7,11202.5
72.9,46.8,89.2,11947.3
72.9,46.2,84.3,11502.8
72.9,46,80.2,11164.7
72.9,45.6,73.6,10518.5
72.9,45.4,67.9,10001.8
72.9,45.2,60.7,9320.3
72.9,44.8,52.9,8897
72.8,44.4,45.8,8366
72.9,44,37.6,7944.3
72.7,43.8,36.3,7980.7
73,42.5,39,8442
